epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,10836.7,0.58924,0.54273,1.04275,0.90387,0.85202,0.91704,0.70672,0.86406,0.55745,1.26333,0.004852,0.004852,0.004852
106,10940,0.58349,0.53773,1.04492,0.91293,0.84882,0.9112,0.71139,0.88525,0.5657,1.29602,0.0048025,0.0048025,0.0048025
107,11043.3,0.57917,0.5267,1.04068,0.91189,0.86856,0.9153,0.70832,0.87247,0.56762,1.29553,0.004753,0.004753,0.004753
108,11146.5,0.57352,0.53263,1.0409,0.89172,0.88653,0.91604,0.70723,0.86525,0.59326,1.27832,0.0047035,0.0047035,0.0047035
109,11249.8,0.5755,0.52539,1.04237,0.90628,0.8745,0.9061,0.7061,0.85301,0.58536,1.26837,0.004654,0.004654,0.004654
110,11353.1,0.57732,0.52672,1.0418,0.92529,0.85948,0.90609,0.71553,0.84459,0.5771,1.26159,0.0046045,0.0046045,0.0046045
111,11456.1,0.55983,0.51997,1.03887,0.93294,0.85636,0.90794,0.70947,0.84784,0.57109,1.26,0.004555,0.004555,0.004555
112,11558.9,0.56298,0.51362,1.03279,0.94052,0.84124,0.90305,0.69681,0.88098,0.58947,1.29754,0.0045055,0.0045055,0.0045055
113,11661.6,0.56501,0.52052,1.03582,0.93594,0.86023,0.90833,0.70727,0.87047,0.56888,1.27563,0.004456,0.004456,0.004456
114,11764.5,0.56024,0.51661,1.03076,0.91215,0.86674,0.90317,0.70055,0.88243,0.58503,1.29314,0.0044065,0.0044065,0.0044065
115,11867.2,0.5541,0.50961,1.02725,0.89505,0.87868,0.90422,0.70051,0.85162,0.58708,1.25932,0.004357,0.004357,0.004357
116,11970.1,0.55101,0.51032,1.0253,0.90198,0.87363,0.90857,0.70203,0.85727,0.58021,1.26089,0.0043075,0.0043075,0.0043075
117,12073,0.55166,0.50207,1.02497,0.93122,0.84537,0.92226,0.71687,0.83807,0.56088,1.24536,0.004258,0.004258,0.004258
118,12175.9,0.55041,0.49546,1.02616,0.92313,0.86996,0.92784,0.72173,0.81608,0.53507,1.2248,0.0042085,0.0042085,0.0042085
119,12278.8,0.55076,0.49916,1.02606,0.91018,0.8762,0.9222,0.71605,0.82443,0.54164,1.2314,0.004159,0.004159,0.004159
120,12381.7,0.54624,0.48916,1.02339,0.92567,0.86788,0.92105,0.71489,0.84153,0.54282,1.23755,0.0041095,0.0041095,0.0041095
121,12484.4,0.54247,0.49611,1.02283,0.94105,0.87018,0.9258,0.72227,0.85754,0.54275,1.25982,0.00406,0.00406,0.00406
122,12587.1,0.54315,0.48965,1.01915,0.93754,0.8697,0.9309,0.71804,0.87161,0.54493,1.27058,0.0040105,0.0040105,0.0040105
123,12689.9,0.54216,0.48252,1.02044,0.91855,0.88466,0.92904,0.72166,0.85909,0.53766,1.26173,0.003961,0.003961,0.003961
124,12792.8,0.53719,0.48867,1.01788,0.9325,0.87251,0.92772,0.72331,0.8384,0.5346,1.24449,0.0039115,0.0039115,0.0039115
125,12895.8,0.53648,0.48637,1.01509,0.92767,0.8851,0.92476,0.72776,0.83037,0.53355,1.23411,0.003862,0.003862,0.003862
126,12998.6,0.53914,0.48631,1.01898,0.92595,0.87339,0.92577,0.73214,0.83318,0.53044,1.23424,0.0038125,0.0038125,0.0038125
127,13101.6,0.53417,0.47919,1.01342,0.94465,0.85967,0.92125,0.72478,0.83594,0.5354,1.24117,0.003763,0.003763,0.003763
128,13204.4,0.53154,0.47996,1.01606,0.93509,0.89172,0.92297,0.72337,0.83281,0.52957,1.24999,0.0037135,0.0037135,0.0037135
129,13307.1,0.52335,0.4722,1.00732,0.91789,0.89155,0.92025,0.72546,0.84012,0.54035,1.25945,0.003664,0.003664,0.003664
130,13410,0.51836,0.46732,1.00772,0.93101,0.87524,0.91784,0.72473,0.84659,0.54296,1.264,0.0036145,0.0036145,0.0036145
131,13512.9,0.52218,0.46271,1.00896,0.92301,0.8642,0.9164,0.71898,0.85043,0.5541,1.26898,0.003565,0.003565,0.003565
132,13615.9,0.52113,0.47037,1.00219,0.93211,0.85639,0.91491,0.72188,0.85384,0.5614,1.27344,0.0035155,0.0035155,0.0035155
133,13718.9,0.51748,0.45768,1.00114,0.91962,0.87782,0.92085,0.72589,0.84885,0.56288,1.2766,0.003466,0.003466,0.003466
